Numéro notice,Titre,Titre Article,Auteurs,Auteurs collectifs,Collection,Volume,Numéro,Date,DateDébut,DateFin,Édition,Collation,Éditeur,Lieu,Notes,Régions,Sujets
0327,Égalité,Le droit au travail au Nouveau-Brunswick,"POIRIER, Donald",,,,5,1982,1982-01-01,1982-12-31,,pp. 15-38,,,,Acadie,Droit|Travail
0328,Égalité,La lutte pour le droit à la syndicalisation et le projet de loi 94,"CHOUINARD, Omer",,,,5,1982,1982-01-01,1982-12-31,,pp. 39-57,,,,Acadie,Sociologie|Travail|Droit|Politique
0329,Égalité,Statut et régime linguistique applicables aux hôpitaux du Nouveau-Brunswick,"BRAEN, André",,,,5,1982,1982-01-01,1982-12-31,,pp. 59-77,,,,Acadie,Droit|Langue|Sociologie|Services
0330,Égalité,Vers une réforme du droit du travail au Nouveau-Brunswick,"MANWARING, John A.",,,,5,1982,1982-01-01,1982-12-31,,pp. 81-105,,,,Acadie,Droit|Travail
0331,Égalité,La langue française au Nouveau-Brunswick,"ÉTIENNE, Gérard",,,,5,1982,1982-01-01,1982-12-31,,pp. 107-120,,,,Acadie,Langue|Comportement
0332,Égalité,Pour un plan d'urbanisation acadien,"GALLANT, Melvin",,,,5,1982,1982-01-01,1982-12-31,,pp. 123-129,,,,Acadie,Géographie|Aménagement
0333,Égalité,La justice en français au Nouveau-Brunswick : théorie et réalité,"BASTARACHE, Michel",,,,5,1982,1982-01-01,1982-12-31,,pp. 131-146,,,,Acadie,Droit|Langue
0334,Égalité,Stabilité politique et revendications ethniques,"THÉRIAULT, J. Yvon",,,,5,1982,1982-01-01,1982-12-31,,pp. 147-158,,,,Acadie,Sociologie|Identité|Politique|Nationalisme
0335,Égalité,L'état du journalisme en Acadie,,,,,5,1982,1982-01-01,1982-12-31,,pp. 161-171,,,,Acadie,Sociologie|Médias
0336,Égalité,Le patrimoine électronique acadien en péril,"NKEMBÉ, Théo",,,,4,1981,1981-01-01,1981-12-31,,pp. 19-43,,,,Acadie,Sociologie|Médias|Économie
0337,Égalité,L'Acadie et l'informatique : un modèle de la disparité technologique,"WYBOUW, Georges",,,,4,1981,1981-01-01,1981-12-31,,pp. 45-65,,,,Acadie,Sociologie|Médias|Économie
0338,Égalité,Les inégalités et les distorsions de représentation au niveau de l'Assemblée législative du Nouveau-Brunswick,"DOUCET, Philippe",,,,4,1981,1981-01-01,1981-12-31,,pp. 67-81,,,,Acadie,Politique|Élection
0339,Égalité,Le droit familial et la constitution : préoccupation sérieuse ou trocs de pouvoir,"LEBLANC, Madeleine",,,,4,1981,1981-01-01,1981-12-31,,pp. 85-97,,,,,Droit|Politique
0340,Égalité,Réflexions sur les thèmes centraux et l'évolution de la pensée constitutionnelle en Acadie du Nouveau-Brunswick,"FOUCHER, Pierre",,,,4,1981,1981-01-01,1981-12-31,,pp. 99-118,,,,Acadie,Droit|Politique
0341,Égalité,Pourquoi pas la dualité au Ministère de l'éducation?,"LAFONTAINE, Jean-Bernard",,,,4,1981,1981-01-01,1981-12-31,,pp. 121-129,,,,Acadie,Politique|Administration|Éducation|Administration
0342,Égalité,Cent ans après : un commentaire,"RICHARD, Bernard",,,,4,1981,1981-01-01,1981-12-31,,pp. 131-141,,,,Acadie,Politique|Nationalisme
0343,Égalité,Identité et fierté,"ARSENAULT, Fernand",,,,4,1981,1981-01-01,1981-12-31,,pp. 145-158,,,,Acadie,Sociologie|Identité
0344,Égalité,Acadiens et politiques en Nouvelle-Écosse,"PARATTE, Henri-Dominique",,,,3,1981,1981-01-01,1981-12-31,,pp. 19-38,,,,Acadie|Nouvelle-Écosse,Politique|Nationalisme
0345,Égalité,Les étudiants des niveaux post-secondaire et universitaire ont-ils des droits?,"POIRIER, Donald",,,,3,1981,1981-01-01,1981-12-31,,pp. 39-56,,,,Acadie,Droit|Politique
0346,Égalité,Une cité dans l'État,"MASSON, Alain",,,,3,1981,1981-01-01,1981-12-31,,pp. 59-71,,,,Acadie,Sociologie|Identité
0347,Égalité,Le commissaire aux langues officielles,"PICHETTE, Robert",,,,3,1981,1981-01-01,1981-12-31,,pp. 73-81,,,,Acadie,Langue|Politique
0348,Égalité,Les élections ontariennes du 19 mars 1981,"ARCHIBALD, Clinton",,,,3,1981,1981-01-01,1981-12-31,,pp. 83-96,,,,Ontario,Politique|Élection
0349,Égalité,La communauté francophone en mal de rattrapage,"SAVOIE, Donald J.",,,,3,1981,1981-01-01,1981-12-31,,pp. 99-112,,,,Acadie,Politique|Nationalisme|Économie|Développement
0350,Égalité,L'Université de Moncton : orientation de la formation universitaire,"CHIASSON, Basile",,,,3,1981,1981-01-01,1981-12-31,,pp. 113-118,,,,Acadie,Éducation|Post-secondaire
0351,Égalité,Vers un développement régional planifié et décentralisé : un commentaire,"LAMARCHE, Rodolphe",,,,3,1981,1981-01-01,1981-12-31,,pp. 121-126,,,,Acadie,Économie|Développement|Géographie|Aménagement
0352,Égalité,Le nationalisme et la situation paradoxale des médias acadiens,"BÉRUBÉ, Adrien",,,,2,1981,1981-01-01,1981-12-31,,pp. 17-33,,,,Acadie,Politique|Nationalisme|Sociologie|Médias
0353,Égalité,Le pourquoi et le comment d'une décentralisation administrative au Nouveau-Brunswick,"FINN, Jean-Guy",,,,2,1981,1981-01-01,1981-12-31,,pp. 35-46,,,,Acadie,Politique|Administration
0354,Égalité,Le processus  de changement politique et le pouvoir économique en Nouvelle-Acadie,"GIBBS, André",,,,2,1981,1981-01-01,1981-12-31,,pp. 47-59,,,,Acadie,Politique|Nationalisme|Économie|Développement
0355,Égalité,Réflexion sur la conférence constitutionnelle de septembre 1980,"BASTARACHE, Michel",,,,2,1981,1981-01-01,1981-12-31,,pp. 63-79,,,,Québec,Droit|Politique
0356,Égalité,La Fédération des francophones hors Québec et le processus de révision constitutionnelle,"ARCHIBALD, Clinton",,,,2,1981,1981-01-01,1981-12-31,,pp. 81-90,,,,Acadie,Culturel|Association|Droit|Politique
0357,Égalité,La nouvelle constitution canadienne et les droits des femmes,"LEBLANC, Madeleine",,,,2,1981,1981-01-01,1981-12-31,,pp. 91-101,,,,,Droit|Politique|Populations|Femmes
0358,Égalité,Les Acadiens du Nouveau-Brunswick et le pouvoir communautaire,"ROSSILLON, Philippe",,,,2,1981,1981-01-01,1981-12-31,,pp. 103-111,,,,Acadie,Politique|Nationalisme
0359,Égalité,L'impact du programme d'immersion française sur la communauté francophone du Nouveau-Brunswick,"ÉTIENNE, Gérard",,,,2,1981,1981-01-01,1981-12-31,,pp. 115-122,,,,Acadie,Éducation|Pédagogie|Langue|Comportement
0360,Égalité,Quelques observations sur l'assemblée extraordinaire de la S.A.N.-B. à St-Léonard,"OUELLETTE, Lise",,,,2,1981,1981-01-01,1981-12-31,,pp. 125-129,,,,Acadie,Culturel|Association
0361,Égalité,L'égalité? Pour quoi faire?,"PARATTE, Henri-Dominique",,,,1,1980,1980-01-01,1980-12-31,,pp. 21-39,,,,Acadie,Politique|Nationalisme
0362,Égalité,Le terrorisme économique maintient l'inégalité,"RAVAULT, René-Jean",,,,1,1980,1980-01-01,1980-12-31,,pp. 41-62,,,,Acadie,Sociologie|Économie|Économie|Analyse
0363,Égalité,Du bilinguisme officiel à l'égalité linguistique : réflexion sur le rapport Laurendeau-Dunton,"SNOW, Gérard",,,,1,1980,1980-01-01,1980-12-31,,pp. 63-77,,,,,Droit|Langue|Langue|Politique
0364,Égalité,Vers un développement régional planifié et décentralisé,"POULIN, Pierre",,,,1,1980,1980-01-01,1980-12-31,,pp. 81-92,,,,Acadie,Économie|Développement
0365,Égalité,Le dossier acadien en matière constitutionnelle,"FINN, Jean-Guy",,,,1,1980,1980-01-01,1980-12-31,,pp. 93-102,,,,Acadie,Droit|Politique
0366,Égalité,Pour assurer la direction de notre vie économique,"CADIEUX, Jean",,,,1,1980,1980-01-01,1980-12-31,,pp. 103-116,,,,Acadie,Économie
0367,Égalité,Projet de loi sur l'égalité des deux communautés linguistiques officielles du N.-B.,"POIRIER, Donald",,,,1,1980,1980-01-01,1980-12-31,,pp. 119-127,,,,Acadie,Langue|Politique|Droit|Politique
0368,Égalité,Le rapport Finn-Elliott : un pas de plus vers l'égalité,"LAFONTAINE, Jean-Bernard",,,,1,1980,1980-01-01,1980-12-31,,pp. 129-133,,,,Acadie,Politique|Administration|Éducation
0369,Égalité,"Nation, peuple et culture","SAINT-LOUIS, Michel",,,,1,1980,1980-01-01,1980-12-31,,pp. 135-140,,,,Acadie,Politique|Nationalisme
0370,Égalité,Les relations Québec-Acadie : bilan et perspectives,"BERTRAND, Jean-François",,,,6,1982,1982-01-01,1982-12-31,,pp. 159-171,,,,Acadie|Québec,Politique|Nationalisme
0371,Égalité,Les parlementaires aux prises avec le projet de loi 84,"LEBOUTHILLIER, Yves",,,,3,1981,1981-01-01,1981-12-31,,pp. 133-142,,,,Acadie,Droit|Politique
0372,Égalité,"Démocratie, marchés et coopération internationale, ou devoir être libre et liberté d'entreprendre","BERNARDIN, Renaud",,,,41,1997,1997-01-01,1997-12-31,,pp. 15-39,,,,Acadie,Politique|Comportement|Populations|International
0373,Égalité,Synthèse de la conférence,"OUELLETTE, Roger",,,,41,1997,1997-01-01,1997-12-31,,pp. 41-49,,,Actes du colloque «Provinces Maritimes et Bassin des Caraïbes : nouveaux partenariats pour l'an 2000»,Acadie,Politique|Comportement|Populations|International
0374,Égalité,La transition vers la démocratie à Haïti,"SAINT-LOUIS, Michel",,,,41,1997,1997-01-01,1997-12-31,,pp. 51-60,,,,Acadie,Politique|Comportement
0375,Égalité,"Haïti : situation politique, conditions de la stabilité, relations commerciales et possibilités d'investissements","WERLEIGH, Claudette",,,,41,1997,1997-01-01,1997-12-31,,pp. 61-77,,,,Acadie,Politique|Comportement|Économie|Commerce|Populations|International
0376,Bibliographie annotée des manuels de géographie au Canada français : 1804-1985,,"BROSSEAU, Marc",,Documents de travail du Centre de recherche en civilisation canadienne-française,,33,1990,1990-01-01,1990-12-31,,61 p.,"Université d'Ottawa, Centre de recherche en civilisation canadienne-française",Ottawa,,,Généralité|Recherche|Géographie
0377,Égalité,Incidences régionales de la mondialisation de l'économie canadienne : questions et éléments d'analyse,"POLESE, Mario",,,,41,1997,1997-01-01,1997-12-31,,PP. 79-106,,,,Acadie,Économie|Intégration
0378,Égalité,Haïti face à la dynamique de l'économie régionale et mondiale,"BEAUBOEUF, Claude",,,,41,1997,1997-01-01,1997-12-31,,pp. 107-135,,,,Acadie,Économie|Intégration
0379,Égalité,"Les secteurs de la pêche, de l'agriculture et de l'agroalimentaire dans le cadre du développement durable d'Haïti","SAINT-HILAIRE, Paul",,,,41,1997,1997-01-01,1997-12-31,,pp. 137-149,,,,Acadie,Populations|International|Économie|Développement
0380,Égalité,Stratégies de commerce dans le cadre du développement durable : le secteur agroalimentaire,"CORMIER, Auréa",,,,41,1997,1997-01-01,1997-12-31,,pp. 151-160,,,,Acadie,Populations|International|Économie|Développement
0381,Égalité,Vers le développement durable aux Caraïbes : le rôle des organisations non gouvernementales,"PAPONNET-CANTAT, Christiane",,,,41,1997,1997-01-01,1997-12-31,,pp. 163-170,,,,Acadie,Économie|Développement|Populations|International
0382,Égalité,Les provinces Maritimes et le Bassin des Caraïbes : différents types de rapports selon les cas,"BOGHEN, Andrew",,,,41,1997,1997-01-01,1997-12-31,,pp. 171-179,,,,Acadie,Économie|Coopération|Populations|International
0383,Revue du Nouvel-Ontario,Portrait statistique des Franco-Ontariens de la région métropolitaine de Sudbury (1991),"MARTIN-GUILLERM, Marguerite",,,,21,1997,1997-01-01,1997-12-31,,pp. 9-37,,,v. nom de famille,Ontario,Géographie|Population|Géographie|Milieu
0384,Revue du Nouvel-Ontario,Étude des facteurs explicatifs de la performance des PME appartenant à des femmes,"ROBICHAUD, Yves|MCGRAW, Egbert",,,,21,1997,1997-01-01,1997-12-31,,pp. 39-71,,,,Ontario,Économie|Commerce
0385,Revue du Nouvel-Ontario,Les organismes franco-ontariens face à la crise de l'État-providence : continuité et rupture,"BAGAOUI, Rachid|LAFLAMME, Simon",,,,21,1997,1997-01-01,1997-12-31,,pp. 73-89,,,,Ontario,Culturel|Association|Sociologie|Solidarité
0386,Revue du Nouvel-Ontario,La relation entre le déficit d'attention avec hyperactivité et la formation de l'identité chez des adolescents franco-ontariens,"BOYER, Jean-Claude|HERRY, Yves",,,,21,1997,1997-01-01,1997-12-31,,pp. 91-113,,,,Ontario,Sociologie|Identité|Éducation|Pédagogie
0387,Revue du Nouvel-Ontario,Vers l'inclusion de l'évaluation égalitaire et de la pluriethnicité dans la communauté francophone minoritaire,"BERGER, Marie Josée",,,,21,1997,1997-01-01,1997-12-31,,pp. 115-133,,,,Ontario,Éducation|Pédagogie
0388,Revue du Nouvel-Ontario,Le sens des institutions,"CHARRON, Marc",,,,21,1997,1997-01-01,1997-12-31,,pp. 137-158,,,,Ontario,Culturel|Association
0389,Revue du Nouvel-Ontario,Portrait démolinguistique de l'Ontario français,"BERNARD, Roger",,,,20,1996,1996-01-01,1996-12-31,,pp. 15-40,,,,Ontario,Géographie|Population|Langue|Application
0390,Revue du Nouvel-Ontario,Où en sont les recherches sur la prononciation franco-ontarienne?,"THOMAS, Alain",,,,20,1996,1996-01-01,1996-12-31,,pp. 41-50,,,,Ontario,Langue|Description
0391,Revue du Nouvel-Ontario,Discontinuités variationnelles dans le parler des adolescents franco-ontariens,"MOUGEON, Raymond|NADASDI, Terry",,,,20,1996,1996-01-01,1996-12-31,,pp. 51-76,,,,Ontario,Langue|Description
0392,Revue du Nouvel-Ontario,Analyse morphosyntaxique du parler d'un groupe d'immigrants français à Toronto,"FORLOT, Gilles",,,,20,1996,1996-01-01,1996-12-31,,pp. 77-112,,,,Ontario,Langue|Description
0393,Revue du Nouvel-Ontario,Variation morphophonologique dans une langue en situation minoritaire : le français à North Bay,"TENNANT, Jeff",,,,20,1996,1996-01-01,1996-12-31,,pp. 113-136,,,,Ontario,Langue|Description
0394,Revue du Nouvel-Ontario,Adaptation ou assimilation? Les comportements linguistiques d'une famille franco-ontarienne de Sudbury,"MELANSON, Natalie",,,,20,1996,1996-01-01,1996-12-31,,pp. 137-171,,,,Ontario,Langue|Comportement
0395,Revue du Nouvel-Ontario,"Bilingue/francophone, Franco-Ontarien/Canadien français : choix des marques d'identification chez les étudiants francophones","BOISSONNEAULT, Julie",,,,20,1996,1996-01-01,1996-12-31,,pp. 173-192,,,,Ontario,Sociologie|Identité|Langue|Application
0396,Revue du Nouvel-Ontario,La compétence linguistique : homogénéisation et individualisation,"LAFLAMME, Simon|REGUIGUI, Ali",,,,20,1996,1996-01-01,1996-12-31,,pp. 193-215,,,,Ontario,Langue|Comportement|Sociologie|Solidarité
0397,Revue du Nouvel-Ontario,Des marqueurs linguistiques de l'identité culturelle,"CAZABON, Benoît",,,,20,1996,1996-01-01,1996-12-31,,pp. 217-256,,,,Ontario,Langue|Comportement|Sociologie|Identité
0398,Revue du Nouvel-Ontario,"Les États généraux du Canada français, ou l'éclatement de la nation : une analyse des journaux de langue française de Sudbury","BOCK, Michel",,,,19,1996,1996-01-01,1996-12-31,,pp. 11-37,,,,Ontario|Québec,Histoire|Politique|Nationalisme
0399,Revue du Nouvel-Ontario,La dynamique de la pauvreté : l'exemple des Franco-Ontariennes de 45-65 ans,"GARCEAU, Marie-Luce|CHARRON, Marc",,,,19,1996,1996-01-01,1996-12-31,,pp. 39-58,,,,Ontario,Économie|Sociologie|Économie
0400,Revue du Nouvel-Ontario,Solidarité familliale et différenciation selon la langue : la fin d'un mythe?,"BERNIER, Christiane|VAILLANCOURT, Chantal",,,,19,1996,1996-01-01,1996-12-31,,pp. 59-87,,,,Ontario,Sociologie|Solidarité|Langue|Comportement
0401,Revue du Nouvel-Ontario,Les compétences requises pour la transition au monde du travail,"LEBRASSEUR, Rolland",,,,19,1996,1996-01-01,1996-12-31,,pp. 89-100,,,,Ontario,Éducation|École|Économie
0402,Revue du Nouvel-Ontario,L'adaptation dans un milieu collégial francophone devenu pluriethnique,"BERGER, Marie Josée|LAPIERRE PETERS, Myrtha",,,,19,1996,1996-01-01,1996-12-31,,pp. 101-114,,,,Ontario,Éducation|Post-secondaire
0403,Revue du Nouvel-Ontario,Intégration des enfants en difficulté : résultats d'une enquête portant sur les opinions et perceptions des étudiantes et étudiants à la formation du personnel enseignant,"GAUTHIER, Yvon",,,,19,1996,1996-01-01,1996-12-31,,pp. 115-125,,,,Ontario,Éducation|Pédagogie|Éducation|Personnel
0404,Revue du Nouvel-Ontario,Mémoire collective/Collected Memories : réflexions sur Cent bornes de Laurent Vaillancourt et Michel Ouellette,"KARCH, Pierre",,,,19,1996,1996-01-01,1996-12-31,,pp. 129-138,,,,Ontario,Culturel|Production
0405,Revue du Nouvel-Ontario,"Ruptures, textuelles et sociales, dans l'oeuvre de Daniel Poliquin","BÉLANGER, Louis",,,,19,1996,1996-01-01,1996-12-31,,pp. 139-172,,,,Ontario,Culturel|Production
0406,Revue du Nouvel-Ontario,Sur la résolution de problèmes dans la classe de mathématiques,"RADFORD, Luis",,,,18,1996,1996-01-01,1996-12-31,,pp. 11-34,,,,Ontario,Éducation|Pédagogie
0407,Revue du Nouvel-Ontario,Étude de la variable sexe du style d'apprentissage d'étudiantes et d'étudiants francophones de la formation à l'enseignement,"THÉBERGE, Mariette|LEBLANC, Raymond|BRABANT, Michel",,,,18,1996,1996-01-01,1996-12-31,,pp. 35-65,,,,Ontario,Éducation|Pédagogie
0408,Revue du Nouvel-Ontario,Essai portant sur les enjeux et les défis reliés au multiculturalisme en formation du personnel enseignant en Ontario français,"AUMOND, Maurice",,,,18,1996,1996-01-01,1996-12-31,,pp. 67-83,,,,Ontario,Éducation|Personnel
0409,Revue du Nouvel-Ontario,La minorité franco-ontarienne à l'heure de la globalisation et des grandes réformes éducationnelles,"HACHÉ, Denis",,,,18,1996,1996-01-01,1996-12-31,,pp. 85-107,,,,Ontario,Éducation|Administration
0410,Revue du Nouvel-Ontario,La compétence linguistique dans un monde branché : histoire et implications d'un test,"REGUIGUI, Ali|LAFLAMME, Simon",,,,18,1996,1996-01-01,1996-12-31,,pp. 109-122,,,,Ontario,Éducation|Post-secondaire|Langue|Comportement
0411,Revue du Nouvel-Ontario,Le règlement XVII (1912-1927),"GERVAIS, Gaétan",,,,18,1996,1996-01-01,1996-12-31,,pp. 123-192,,,,Ontario,Éducation|Administration|Éducation|École|Politique|Nationalisme
0412,Revue du Nouvel-Ontario,"Les Canadiens-Français et le travail minier dans la région de Sudbury, 1886-1912","RIVA, Paul de la",,,,17,1995,1995-01-01,1995-12-31,,pp. 29-47,,,,Ontario,Histoire|Économie|Sociologie|Travail
0413,Revue du Nouvel-Ontario,"Les Italiens de Copper Cliff, 1886-1912","REILLY, Karey",,,,17,1995,1995-01-01,1995-12-31,,pp. 49-76,,,,Ontario,Histoire|Économie
0414,Revue du Nouvel-Ontario,"Les accidents de travail à la Canadian Copper Company, 1900-1920","GOSSELIN, Paulette",,,,17,1995,1995-01-01,1995-12-31,,pp. 77-104,,,,Ontario,Histoire|Économie
0415,Revue du Nouvel-Ontario,Les ouvriers-mineurs de Sudbury (1912-1930) : le cas de l'International Nickel Company,"RIVA, Paul de la|GAUDREAU, Guy",,,,17,1995,1995-01-01,1995-12-31,,pp. 105-136,,,,Ontario,Histoire|Économie
0416,Revue du Nouvel-Ontario,Le comportement démographique de deux paroisses canadiennes-françaises de la région de Sudbury,"DENNIE, Donald",,,,16,1994,1994-01-01,1994-12-31,,pp. 9-39,,,,Ontario,Géographie|Population|Histoire|Religion
0417,Revue du Nouvel-Ontario,La communauté franco-ontarienne et l'emploi : briser le mythe de la géographie,"GILBERT, Anne",,,,16,1994,1994-01-01,1994-12-31,,pp. 41-57,,,,Ontario,Géographie|Population|Économie
0418,Revue du Nouvel-Ontario,L'évolution des gens d'affaires franco-ontariens,"ROBICHAUD, Yves|LEBRASSEUR, Rolland",,,,16,1994,1994-01-01,1994-12-31,,pp. 59-79,,,,Ontario,Économie|Commerce
0419,Revue du Nouvel-Ontario,Les organismes de loisirs franco-ontariens : isolement et désir de collaboration,"GRAVELLE, François",,,,16,1994,1994-01-01,1994-12-31,,pp. 81-93,,,,Ontario,Culturel|Association|Sociologie|Identité
0420,Revue du Nouvel-Ontario,"Origine familiale, aspirations et homogénéisation : enquête auprès des étudiants et étudiantes du post-secondaire dans le Nord-est de l'Ontario","LAFLAMME, Simon",,,,16,1994,1994-01-01,1994-12-31,,pp. 95-111,,,,Ontario,Éducation|Post-secondaire|Sociologie|Identité
0421,Revue du Nouvel-Ontario,"Maurice Lamothe, La chanson populaire ontaroise, 1970-1990","LAPOINTE, Jean",,,,16,1994,1994-01-01,1994-12-31,,pp. 115-126,,,Analyse critique.,Ontario,Culturel|Production
0422,Revue du Nouvel-Ontario,Le chien de Jean Marc Dalpé : réception critique,"BÉLANGER, Louis",,,,16,1994,1994-01-01,1994-12-31,,pp. 127-137,,,Analyse critique.,Ontario,Culturel|Production
0423,Revue du Nouvel-Ontario,Les conditions sociolinguistiques de l'enseignement du français langue minoritaire et leurs conséquences sur la pédagogie du français langue maternelle en Ontario,"LAFRANCE, Francine",,,,15,1993,1993-01-01,1993-12-31,,pp. 11-34,,,,Ontario,Langue|Application|Éducation|Pédagogie
0424,Revue du Nouvel-Ontario,Difficultés de communication dans les familles recomposées francophones du nord-est de l'Ontario,"ROBERGE, Pierre",,,,15,1993,1993-01-01,1993-12-31,,pp. 35-50,,,,Ontario,Sociologie|Solidarité
0425,Revue du Nouvel-Ontario,"La propriété foncière à Chelmsford et dans le canton de Balfour, 1911-1968","DENNIE, Donald",,,,15,1993,1993-01-01,1993-12-31,,pp. 51-78,,,,Ontario,Économie|Analyse|Histoire|Économie
0426,Revue du Nouvel-Ontario,Le propriétaire-dirigeant francophone du nord-est ontarien : les éléments d'un profil,"ROBICHAUD, Yves|MCGRAW, Egbert",,,,15,1993,1993-01-01,1993-12-31,,pp. 79-95,,,,Ontario,Économie|Analyse
0427,Revue du Nouvel-Ontario,Le concept de culture dans la consommation : le cas de l'Ontario français,"RIBORDY, Annette",,,,15,1993,1993-01-01,1993-12-31,,pp. 97-115,,,,Ontario,Économie|Analyse
0428,Revue du Nouvel-Ontario,Une analyse sociologique féministe est-elle possible?,"BERNIER, Christiane",,,,15,1993,1993-01-01,1993-12-31,,pp. 119-156,,,,Ontario,Populations|Femmes|Sociologie|Solidarité
0429,Revue du Nouvel-Ontario,Entrepreneurs : pourquoi? comment? quoi?,"CACHON, Jean-Charles",,,,13-14,1991-1992,33239,33969,,pp. 13-56,,,,Ontario,Économie|Commerce
0430,Revue du Nouvel-Ontario,Les entrepreneurs franco-ontariens,"BLATT, Rena",,,,13-14,1991-1992,33239,33969,,pp. 57-70,,,,Ontario,Économie|Analyse
0431,Revue du Nouvel-Ontario,La sécurité dans l'insécurité,"RIBORDY, François-Xavier",,,,13-14,1991-1992,33239,33969,,pp. 73-85,,,,Ontario,Sociologie|Services
0432,Revue du Nouvel-Ontario,Alphabétiser la jeunesse franco-ontarienne : quels défis à l'horizon?,"ARSENEAULT, Robert",,,,13-14,1991-1992,33239,33969,,pp. 89-107,,,,Ontario,Éducation|Pédagogie|Langue|Comportement
0433,Revue du Nouvel-Ontario,Les luttes pour les écoles secondaires franco-ontariennes,"WELCH, David",,,,13-14,1991-1992,33239,33969,,pp. 109-131,,,,Ontario,Éducation|École|Sociologie|Identité
0434,Revue du Nouvel-Ontario,Autres considérations sur le rapport entre la compétence linguistique et l'environnement social,"LAFLAMME, Simon|BERGER, Jacques",,,,13-14,1991-1992,33239,33969,,pp. 133-154,,,,Ontario,Éducation|Post-secondaire|Langue|Comportement|Sociologie|Solidarité
0435,Revue du Nouvel-Ontario,Négocier sa francophonie en Ontario,"ROY, Jacques",,,,13-14,1991-1992,33239,33969,,pp. 157-179,,,,Ontario,Éducation|Post-secondaire|Langue|Comportement
0436,Revue du Nouvel-Ontario,Évaluation de la communication au moyen de tests,"CANALE, Michael",,,,13-14,1991-1992,33239,33969,,pp. 181-201,,,,Ontario,Langue|Comportement|Éducation|Pédagogie
0437,Revue du Nouvel-Ontario,Peuplement du Nord de l'Ontario,"BERNARD, Roger",,,,12,1990,1990-01-01,1990-12-31,,pp. 15-40,,,,Ontario,Économie|Commerce|Géographie|Territoire
0438,Revue du Nouvel-Ontario,Peuplement et colonisation du Québec et du Nord de l'Ontario : connaissances actuelles et perspectives de recherches,"TREMBLAY, Martine",,,,12,1990,1990-01-01,1990-12-31,,pp. 43-63,,,,Ontario,Géographie|Population|Économie
0439,Revue du Nouvel-Ontario,Le développement des activités forestières en Ontario (1855-1900) : une prise de vue quantitative,"GAUDREAU, Guy",,,,12,1990,1990-01-01,1990-12-31,,pp. 65-90,,,,Ontario,Histoire|Économie
0440,Revue du Nouvel-Ontario,Les relations de classes sociales à Sudbury en 1919,"DENNIE, Donald",,,,12,1990,1990-01-01,1990-12-31,,pp. 93-122,,,,Ontario,Sociologie|Travail|Histoire|Économie
0441,Revue du Nouvel-Ontario,Évolution comparative des revenus des Franco-Ontariens,"LAVOIE, Marc|SAINT-GERMAIN, Maurice",,,,12,1990,1990-01-01,1990-12-31,,pp. 125-149,,,,Ontario,Économie|Analyse
0442,Revue du Nouvel-Ontario,Les francophones telles qu'elles sont : les Ontaroises et l'économie,"CARDINAL, Linda|CODERRE, Cécile",,,,12,1990,1990-01-01,1990-12-31,,pp. 151-181,,,,Ontario,Sociologie|Économie|Populations|Femmes
0443,Revue du Nouvel-Ontario,La structure occupationnelle du Nord-Est de l'Ontario et ses perceptions par la communauté francophone des affaires,"RIBORDY, Annette",,,,12,1990,1990-01-01,1990-12-31,,pp. 183-203,,,,Ontario,Économie|Analyse
0444,Revue du Nouvel-Ontario,"Perception du rôle d'une caisse populaire dans un milieu francophone homogène : le cas de Sturgeon Falls, Ontario","CACHON, Jean-Charles",,,,12,1990,1990-01-01,1990-12-31,,pp. 205-215,,,,Ontario,Économie|Coopération
0445,Revue du Nouvel-Ontario,L'idéologie comme source de connaissance,"CAZABON, Benoît",,,,11,1989,1989-01-01,1989-12-31,,pp. 15-32,,,,Ontario,Sociologie|Identité
0446,Revue du Nouvel-Ontario,Éléments pour une analyse de la conscience franco-ontarienne,"LAFLAMME, Simon",,,,11,1989,1989-01-01,1989-12-31,,pp. 35-46,,,,Ontario,Sociologie|Identité
0447,Revue du Nouvel-Ontario,Luttes idéologiques et cultures institutionnelles en éducation franco-ontarienne,"FRENETTE, Normand|GAUTHIER, Lise",,,,11,1989,1989-01-01,1989-12-31,,pp. 49-67,,,,Ontario,Éducation|Administration|Sociologie|Identité
0448,Revue du Nouvel-Ontario,L'étude des réalités franco-ontariennes : à la recherche d'un nouveau modèle théorique,"DENNIE, Donald",,,,11,1989,1989-01-01,1989-12-31,,pp. 69-83,,,,Ontario,Politique|Nationalisme
0449,Revue du Nouvel-Ontario,Les changements culturels dans la religion des Nord-Ontariens,"PION, Denis",,,,11,1989,1989-01-01,1989-12-31,,pp. 85-98,,,,Ontario,Sociologie|Solidarité
0450,Revue du Nouvel-Ontario,Qu'est-ce qu'on fait quand on fait de la littérature?,"DORAIS, Fernand",,,,11,1989,1989-01-01,1989-12-31,,pp. 101-128,,,,Ontario,Culturel|Production
0451,Revue du Nouvel-Ontario,In Memoriam,"GIROUARD, Pierre",,,,11,1989,1989-01-01,1989-12-31,,pp. 131-157,,,,Ontario,Sociologie|Identité
0452,Revue du Nouvel-Ontario,Les Franco-Ontariens et l'idéologie dominante,"RABIER, Christiane",,,,11,1989,1989-01-01,1989-12-31,,pp. 159-169,,,,Ontario,Sociologie|Identité
