Numéro notice,Titre,Titre Article,Auteurs,Auteurs collectifs,Collection,Volume,Numéro,Date,DateDébut,DateFin,Édition,Collation,Éditeur,Lieu,Notes,Régions,Sujets
2697,Les insolences du bilinguisme,,"RICHARD, André",,,,,1986,1986-01-01,1986-12-31,,150 p.,Éditions Asticou,Hull,,,Langue|Politique
2698,Langue et société,Le bilinguisme : une évolution des esprits,"ROBERTS, C.",,,,4,1981,1981-01-01,1981-12-31,,pp. 3-6,,,,,Langue|Politique
2699,Une lente agonie : le fait français au Canada,,"ROBILLARD, Jean-Denis",,,,,1986,1986-01-01,1986-12-31,,379 p.,Éditions de l'Action nationale,Montréal,,,Langue|Comportement
2700,Rapport annuel du Secrétariat d'État concernant sa mission en matière de langues officielles,,,,,,,1989,1989-01-01,1989-12-31,,103 p.,"Secrétariat d'État du Canada, Ministère des Approvisionnements et Services Canada",Ottawa,,,Langue|Politique
2701,Les droits linguistiques des Acadiens du Nouveau-Brunswick,,"SNOW, Gérard",,Documentation de la langue française,,7,1981,1981-01-01,1981-12-31,,,Conseil de la langue française du Québec,Québec,,Acadie,Droit|Langue
2702,Le dossier linguistique : une perspective acadienne,,Société des Acadiens et Acadiennes du Nouveau-Brunswick,,,,,1986,1986-01-01,1986-12-31,,55 p.,Société des Acadiens et Acadiennes du Nouveau-Brunswick,Frédéricton,,Acadie,Langue|Politique
2703,Revue des sciences de l'éducation,Relations entre le niveau de scolarité des parents acadiens et leurs attitudes à l'égard du français et de l'anglais,"STARETS, Moshé",,,13,1,1987,1987-01-01,1987-12-31,,pp. 17-30,,,,Acadie,Éducation|École|Langue|Comportement
2704,Les droits linguistiques et scolaires au Québec et au Canada : histoire législative et journal politique personnel,,"TETLEY, William",,Publication du CIRB,,B-152,1986,1986-01-01,1986-12-31,,51 p.,Centre international de recherche sur le bilinguisme,Québec,,Québec,Droit|Langue|Droit|École
2705,Revue de l'Association canadienne d'éducation de langue française,Scandale national même où le nombre le justifie,"THÉBERGE, Raymond",,,15,1,1987,1987-01-01,1987-12-31,,pp. 12-19,,,,,Droit|Langue
2706,Les enjeux juridiques et socio-politiques des conflits linguistiques au Nouveau-Brunswick,,"TREMBLAY, Daniel|PRUJINER, Alain",,Publication du CIRB,,G-7,1987,1987-01-01,1987-12-31,,141 p.,Centre international de recherche sur le bilinguisme,Québec,,Acadie,Droit|Langue|Langue|Politique
2707,Les Cahiers de droit,Quelques considérations sur le droit linguistique,"TURI, Joseph-G.",,,27,2,1986,1986-01-01,1986-12-31,,pp. 463-476,,,,,Droit|Langue
2708,L'Ontario français par les documents,,"VALLIERES, Gaétan",,Collection l'Ontario français,,,1980,1980-01-01,1980-12-31,,"xiv, 280 p.",Éditions Études vivantes,Montréal,,Ontario,Histoire|Religion|Histoire|Sociale
2709,"Les dimensions politiques du sexe, de l'ethnie et de la langue au Canada",L'état de la langue et de la société : des vicissitudes du français au Québec et au Canada,"WADDELL, Eric","CAIRNS, Alan C.|WILLIAMS, Cynthia",,,,1986,1986-01-01,1986-12-31,,,Ministère des Approvisionnements et services Canada,Ottawa,,Québec,Langue|Comportement|Sociologie|Solidarité
2710,L'éducation chez les Acadiens de l'Ile-du-Prince-Édouard 1720-1980 ou La survivance acadienne à l'Ile-du-Prince-Édouard,,"ARSENAULT, Georges",,,,,1982,1982-01-01,1982-12-31,,85 p.,Société Saint-Thomas d'Aquin,Summerside,,Acadie|Ile-du-Prince-Édouard,Éducation|Histoire
2711,Répertoire de l'enseignement postsecondaire à distance en français,,Association canadienne d'éducation de langue française,,,,,1988,1988-01-01,1988-12-31,Édition 1988-1989,164 p.,Association canadienne d'éducation de langue française,Québec,,,Éducation|Post-secondaire
2712,Répertoire des études en français des niveaux collégial et universitaire au Canada,,Association canadienne d'éducation de langue française,,,,,1987,1987-01-01,1987-12-31,,152 p.,Association canadienne d'éducation de langue française,Québec,,,Éducation|Post-secondaire
2713,Mémoire présenté au Comité mixte permanent du Sénat et de la Chambre des communes,,Association canadienne d'éducation de langue française,,,,,1986,1986-01-01,1986-12-31,,22 p.,Association canadienne d'éducation de langue française,Québec,,,Éducation|Pédagogie
2714,Mémoire sur la formation professionnelle des jeunes,,Association canadienne d'éducation de langue française,,,,,1982,1982-01-01,1982-12-31,,,Association canadienne d'éducation de langue française,Québec,,,Éducation|Pédagogie|Populations|Jeunes
2715,Sondage sur les besoins des commissaires d'écoles de langue française du Canada,,Association des commissaires d'école de langue française au Canada,,,,,1981,1981-01-01,1981-12-31,,,Association des commissaires d'école de langue française au Canada,Charlottetown,,,Éducation|Administration
2716,L'enseignement postsecondaire non universitaire au Canada français,,Association canadienne d'éducation de langue française,,,,,1981,1981-01-01,1981-12-31,,104 p.,Association canadienne d'éducation de langue française,Québec,,,Éducation|Post-secondaire
2717,L'enseignement postsecondaire et universitaire au Canada français,,Association canadienne d'éducation de langue française,,,,,1980,1980-01-01,1980-12-31,,297 p.,Association canadienne d'éducation de langue française,Québec,,,Éducation|Post-secondaire
2718,C'est maintenant l'heure de l'école franco-albertaine,,"DESJARLAIS, Lionel",,,,,1989,1989-01-01,1989-12-31,,47 p.,Association canadienne-française de l'Alberta,Edmonton,Étude du régime d'application en Alberta de l'article 23 de la Charte canadienne des droits et libertés ; version abrégée.,Ouest|Alberta,Éducation|École|Droit|Langue
2719,Les étudiants franco-albertains et l'éducation au palier secondaire,,Association canadienne-française de l'Alberta,,,,,1984,1984-01-01,1984-12-31,,,Association canadienne-française de l'Alberta,Edmonton,,Ouest|Alberta,Éducation|École
2720,Attentes des membres de l'Association canadienne-française de l'Alberta en matière d'éducation,,"PERRON, Thérèse",,,,,1981,1981-01-01,1981-12-31,,,Association canadienne-française de l'Alberta,Edmonton,,Ouest|Alberta,Éducation|École|Culturel|Association
2721,350 ans de présence francophone en Ontario,,Association canadienne-française de l'Ontario,,,,,1989,1989-01-01,1989-12-31,,,Association canadienne-française de l'Ontario,Ottawa,,Ontario,Culturel|Association
2722,Rapport sur la situation des écoles secondaires de langue française en Ontario,,Association des enseignantes et des enseignants franco-ontariens,,,,,1988,1988-01-01,1988-12-31,,42 p.,Association des enseignantes et des enseignants de l'Ontario,Ottawa,,Ontario,Éducation|École
2723,Rapport sur la situation des écoles secondaires mixtes en Ontario,,Association des enseignantes et des enseignants de l'Ontario,,,,,1981,1981-01-01,1981-12-31,,,Association des enseignantes et des enseignants de l'Ontario,Ottawa,,Ontario,Éducation|École
2724,L'école française et le développement de la communauté franco-ontarienne : rapport du colloque,,Association française des conseils scolaires de l'Ontario,,,,,1989,1989-01-01,1989-12-31,,,Association française des conseils scolaires de l'Ontario,Ottawa,Actes du colloque tenu à Ottawa.,Ontario,Éducation|École|Sociologie|Solidarité
2725,Survol historique du dossier de la gestion scolaire,,Association française des conseils scolaires de l'Ontario,,,,,1985,1985-01-01,1985-12-31,,21 p.,Association française des conseils scolaires de l'Ontario,Ottawa,,Ontario,Éducation|Administration
2726,Étude de l'adéquation des programmes d'étude aux besoins des Franco-Ontariens,,"BORDELEAU, Louis-Gabriel",,,,,1983,1983-01-01,1983-12-31,,,Université d'Ottawa,Ottawa,,Ontario,Éducation|Pédagogie
2727,En toutes lettres et en français : l'alphabétisation des francophones au Canada,,"BOUCHER, Andrée",,,,,1989,1989-01-01,1989-12-31,,171 p.,Institut canadien d'éducation des adultes,Montréal,Étude réalisée par l'Institut canadien d'éducation des adultes avec la collaboration de la Fédération des francophones hors Québec.,,Éducation|Pédagogie
2728,L'analphabétisme et l'alphabétisation chez les francophones au Canada : un premier tour d'horizon révélateur,,"BOUCHER, Andrée",,,,,1989,1989-01-01,1989-12-31,,,Institut canadien d'éducation des adultes et Fédération des francophones hors Québec,Montréal,,,Éducation|Pédagogie
2729,Du privé au public : les écoles secondaires franco-ontarienne à la fin des années soixante,,"BOULAY, Gérard",,,,,1986,1986-01-01,1986-12-31,,70 p.,Société historique du Nouvel-Ontario,Sudbury,,Ontario,Éducation|École
2730,Où en sommes-nous?,,"BRUNET, Lucie",,,,,1989,1989-01-01,1989-12-31,,15 p.,Fédération nationale des femmes canadiennes-françaises,Ottawa,,,Populations|Femmes
2731,Revue de l'Association canadienne d'éducation de langue française,L'éducation en langue française en Alberta,"BUSSIERE, Adrien",,,16,1,1988,1988-01-01,1988-12-31,,pp. 19-20,,,,Ouest|Alberta,Éducation|École
2732,Étude stratégique sur les services d'éducation universitaire en français dans le Nord-Est de l'Ontario,,"CACHON, Jean-Charles",,,,,1986,1986-01-01,1986-12-31,,,Université Laurentienne,Sudbury,,Ontario,Éducation|Post-secondaire
2733,La minorité francophone de Welland et ses rapports avec les institutions,,"CARDINAL, Linda|LAPOINTE, Jean|THÉRIAULT, J. Yvon",,,,,1988,1988-01-01,1988-12-31,,204 p.,Bureau du Commissaire aux langues officielles,Ottawa,Rapport d'étude présenté au Bureau du Commissaire aux langues officielles.,Ontario,Éducation|École|Sociologie|Solidarité|Langue|Comportement
2734,L'Université d'Ottawa et la francophonie ontarienne,,Groupe de travail sur les services universitaires en français,,,,,1985,1985-01-01,1985-12-31,,"vii, 120 p.",Université d'Ottawa,Ottawa,,Ontario,Éducation|Post-secondaire
2735,Perspectives,Minorités linguistiques nationales : la renaissance de l'éducation franco-ontarienne,"CHURCHILL, Stacy",,,6,3,1980,1980-01-01,1980-12-31,,pp. 466-477,,,Rapport Carrier,Ontario,Éducation|École
2736,A la recherche d'une identité franco-ontarienne,,"CLAVEL, Bernard|GRENIER, Maurice|L'ÉCUYER, Michel|SAMSON, Gérald",,,,,1984,1984-01-01,1984-12-31,Fascicule 1 : La culture - notre culture,,Éditions Guérin,Montréal,,Ontario,Éducation|École|Sociologie|Identité
2737,A la recherche d'une identité franco-ontarienne,,"CLAVEL, Bernard|GRENIER, Maurice|L'ÉCUYER, Michel|SAMSON, Gérald",,,,,1984,1984-01-01,1984-12-31,Fascicule 2 : La question scolaire,,Éditions Guérin,Montréal,,Ontario,Éducation|École|Sociologie|Identité
2738,A la recherche d'une identité franco-ontarienne,,"CLAVEL, Bernard|GRENIER, Maurice|L'ÉCUYER, Michel|SAMSON, Gérald",,,,,1984,1984-01-01,1984-12-31,Fascicule 3 : Le jeu des nombres,,Editions Guérin,Montréal,,Ontario,Éducation|École|Sociologie|Identité
2739,Clik,A l'heure de l'immersion,"COMEAU, Luc",,,2,8,1988,1988-01-01,1988-12-31,,pp. 13-14,,,,,Éducation|Pédagogie
2740,Revue de l'Association canadienne d'éducation de langue française,"La gestion des écoles : un modèle à suivre, un modèle de gestion des écoles franco-manitobaines par la minorité linguistique",Comité ad hoc de planification de la gestion scolaire au Manitoba,,,16,2,1988,1988-01-01,1988-12-31,,pp. 4-20,,,,Ouest|Manitoba,Éducation|Administration
2741,Langue et société,L'enseignement immersif,Commissaire aux langues officielles,,,,12,1984,1984-01-01,1984-12-31,,,,,,,Éducation|Pédagogie
